"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"94","23905","8151","1","","农家书屋","12","8","套","1.000000","1.000000","20000.000000","20000.000000","","村委　","1","","2012-10-19","191","2012-10-19","T","","","","20000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"95","23906","8151","1","","健身器材","12","1","套","4.000000","4.000000","1250.000000","5000.000000","","村委　","1","","2012-10-19","191","2012-10-19","T","","","","5000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"96","23910","8151","1","","麻将桌","12","1","套","1.000000","1.000000","300.000000","300.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2010年购置，包括椅子4把。2012年三资清查入帐。","","300","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"97","16287","8151","1","20110124007","乒乓球案","12","1","个","1.000000","1.000000","1500.000000","1500.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","1500","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"98","23904","8151","1","","篮球架","12","1","套","1.000000","1.000000","5000.000000","5000.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2012年三资清查入帐。","","5000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"99","23911","8151","1","","机井","13","1","套","1.000000","1.000000","500000.000000","500000.000000","","荆下","1","","2012-10-19","191","2012-10-19","T","","2011年4月县水利局投资人50万元，包括井房2间等配套设施，能浇灌200亩土地。","","500000","","13","010302","农田水利设施","4","套","T","农田水利设施",""
"100","31331","8151","1","","体育器械","17","1","套","1.000000","1.000000","7500.000000","7500.000000","","文化大院","1","","2013-12-23","191","2013-12-23","F","","","","7500","","17","010502","专用设备","6","个","T","专用设备",""
"101","16507","8160","1","20110124005","老队部房子","7","2","间","9.000000","9.000000","500.000000","4500.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐,1920年建成，420平方米。","0","4500","","7","010101","村委房屋","2","平米","T","村委房屋",""
"102","14897","8160","1","20110124001","文化大院","7","2","间","7.000000","7.000000","10000.000000","70000.000000","","村委会","1","村委　","2009-10-24","191","2012-12-10","T","","2012年三资清查入帐,2010年建成，砖混结构280平方米，水泥地面。","0","70000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"103","16288","8160","1","20110124002","教学楼","8","2","间","26.000000","26.000000","1000.000000","260000.000000","","学校","1","村委　","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐,1998年建成。主体砖混结构二层1900平方米。","0","260000","","8","010102","学校房屋","2","平米","T","学校房屋",""
"104","23200","8160","1","","电脑","10","1","台","1.000000","1.000000","4000.000000","4000.000000","","村委　","1","","2012-10-15","191","2012-10-15","T","","2010年由县文化局送用于监控，2012年三资清查入帐。","","4000","","10","010201","办公设备","3","套","T","办公设备",""
"105","16508","8160","1","20110124007","凳子","11","1","个","32.000000","32.000000","","","","村委","1","村委","2009-10-24","191","2011-01-24","T","","2009年三资清查入帐","0","0","","11","010202","办公家具","3","套","T","办公家具",""
